store,Product ID,Product Title,Brand,Unit,Quantity Per Case,State,City,District,Units_Sold,Unit_Price,Revenue,Cost,Profit,Customer_Rating,In_Stock,Date
Store #108,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,Illinois,Chicago,District B,7,11.7,81.9,46.48,35.42,4.9,True,2024-05-08
Store #106,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Washington,Seattle,District B,116,3.85,446.6,245.92,200.68,4.7,True,2024-05-30
Store #109,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,California,San Diego,District A,32,16.58,530.56,315.52,215.04,4.6,True,2024-09-16
Store #103,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,Texas,Austin,District C,140,8.32,1164.8,744.8,420.0,4.4,False,2024-03-23
Store #106,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Washington,Seattle,District B,19,6.32,120.08,76.19,43.89,3.9,True,2024-05-02
Store #102,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,California,San Francisco,District B,37,11.67,431.79,298.96,132.83,4.0,True,2024-03-05
Store #110,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,Texas,Houston,District C,56,6.42,359.52,219.52,140.0,4.6,True,2024-04-18
Store #109,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,California,San Diego,District A,68,2.71,184.28,110.84,73.44,4.5,True,2024-03-02
Store #104,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,Texas,Dallas,District C,20,4.37,87.4,60.0,27.4,4.8,False,2024-02-06
Store #104,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Texas,Dallas,District C,129,6.3,812.7,463.11,349.59,4.9,True,2024-12-08
Store #108,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Illinois,Chicago,District B,109,5.13,559.17,316.1,243.07,4.3,True,2024-08-30
Store #108,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Illinois,Chicago,District B,30,8.12,243.6,160.5,83.1,4.8,False,2024-01-28
Store #104,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Texas,Dallas,District C,119,5.1,606.9,351.05,255.85,4.4,True,2024-10-01
Store #102,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,California,San Francisco,District B,30,2.66,79.8,55.8,24.0,4.8,True,2024-10-08
Store #104,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,Texas,Dallas,District C,129,15.96,2058.84,1399.65,659.19,4.9,True,2024-07-27
Store #101,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,California,Los Angeles,District A,121,6.15,744.15,487.63,256.52,4.7,True,2024-05-15
Store #108,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,Illinois,Chicago,District B,80,15.54,1243.2,694.4,548.8,4.7,False,2024-04-07
Store #106,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,Washington,Seattle,District B,127,4.49,570.23,386.08,184.15,4.0,True,2024-01-26
Store #102,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,California,San Francisco,District B,22,16.27,357.94,209.44,148.5,3.9,True,2024-02-05
Store #104,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Texas,Dallas,District C,15,19.22,288.3,176.7,111.6,4.5,True,2024-10-31
Store #105,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,New York,New York,District A,85,5.15,437.75,266.9,170.85,4.6,True,2024-12-08
Store #106,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Washington,Seattle,District B,122,4.04,492.88,312.32,180.56,3.9,True,2024-01-05
Store #109,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,California,San Diego,District A,94,6.74,633.56,432.4,201.16,4.2,True,2024-03-08
Store #109,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,California,San Diego,District A,140,8.07,1129.8,760.2,369.6,4.2,True,2024-06-03
Store #103,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Texas,Austin,District C,32,6.65,212.8,121.92,90.88,4.1,True,2024-02-29
Store #106,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Washington,Seattle,District B,72,5.29,380.88,223.92,156.96,4.9,False,2024-12-17
Store #107,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Florida,Miami,District D,5,6.38,31.9,18.15,13.75,5.0,True,2024-01-23
Store #108,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,Illinois,Chicago,District B,7,11.04,77.28,53.48,23.8,4.6,True,2024-08-06
Store #101,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,California,Los Angeles,District A,42,7.93,333.06,185.22,147.84,4.2,True,2024-10-25
Store #101,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,California,Los Angeles,District A,68,8.12,552.16,333.2,218.96,4.5,True,2024-04-17
Store #110,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Texas,Houston,District C,65,8.8,572.0,398.45,173.55,4.8,True,2024-03-20
Store #101,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,California,Los Angeles,District A,110,16.47,1811.7,1230.9,580.8,4.8,True,2024-06-19
Store #102,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,California,San Francisco,District B,125,6.12,765.0,515.0,250.0,4.4,True,2024-01-20
Store #104,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Texas,Dallas,District C,54,5.24,282.96,167.4,115.56,3.9,True,2024-01-13
Store #106,PID-1011,Matcha Green Tea Powder 100g,VitalityFoods,Tin,12,Washington,Seattle,District B,107,20.35,2177.45,1473.39,704.06,4.2,False,2024-09-17
Store #105,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,New York,New York,District A,72,15.25,1098.0,702.0,396.0,4.2,True,2024-10-24
Store #107,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Florida,Miami,District D,34,18.77,638.18,406.3,231.88,4.1,True,2024-09-18
Store #101,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,California,Los Angeles,District A,55,11.33,623.15,349.25,273.9,4.6,True,2024-10-02
Store #106,PID-1011,Matcha Green Tea Powder 100g,VitalityFoods,Tin,12,Washington,Seattle,District B,81,20.0,1620.0,1053.0,567.0,4.2,True,2024-03-04
Store #109,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,California,San Diego,District A,112,16.25,1820.0,1104.32,715.68,4.7,True,2024-04-08
Store #110,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Texas,Houston,District C,5,6.36,31.8,18.5,13.3,4.7,True,2024-07-26
Store #106,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,Washington,Seattle,District B,118,2.84,335.12,210.04,125.08,4.8,True,2024-08-14
Store #103,PID-1011,Matcha Green Tea Powder 100g,VitalityFoods,Tin,12,Texas,Austin,District C,77,20.02,1541.54,994.07,547.47,4.2,True,2024-02-13
Store #104,PID-1011,Matcha Green Tea Powder 100g,VitalityFoods,Tin,12,Texas,Dallas,District C,62,20.6,1277.2,730.98,546.22,3.9,True,2024-06-07
Store #110,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Texas,Houston,District C,111,4.14,459.54,291.93,167.61,4.7,True,2024-08-21
Store #107,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Florida,Miami,District D,6,5.5,33.0,22.38,10.62,4.9,True,2024-03-16
Store #104,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,Texas,Dallas,District C,137,15.93,2182.41,1382.33,800.08,4.9,True,2024-12-22
Store #103,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,Texas,Austin,District C,140,2.93,410.2,261.8,148.4,4.9,True,2024-12-07
Store #110,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Texas,Houston,District C,114,8.77,999.78,631.56,368.22,4.9,True,2024-09-15
Store #108,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,Illinois,Chicago,District B,68,2.88,195.84,115.6,80.24,4.7,True,2024-05-12
Store #104,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Texas,Dallas,District C,24,6.63,159.12,93.12,66.0,4.2,True,2024-08-13
Store #102,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,California,San Francisco,District B,64,15.8,1011.2,579.2,432.0,4.1,True,2024-03-18
Store #106,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,Washington,Seattle,District B,111,10.99,1219.89,823.62,396.27,4.3,True,2024-08-26
Store #101,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,California,Los Angeles,District A,127,18.05,2292.35,1381.76,910.59,4.7,True,2024-07-13
Store #107,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,Florida,Miami,District D,61,11.48,700.28,413.58,286.7,4.4,True,2024-10-06
Store #107,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Florida,Miami,District D,124,8.85,1097.4,765.08,332.32,4.4,True,2024-03-25
Store #110,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Texas,Houston,District C,11,18.2,200.2,122.98,77.22,4.8,True,2024-12-05
Store #105,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,New York,New York,District A,59,6.26,369.34,221.84,147.5,4.9,True,2024-06-16
Store #107,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Florida,Miami,District D,125,6.18,772.5,487.5,285.0,5.0,True,2024-02-11
Store #102,PID-1011,Matcha Green Tea Powder 100g,VitalityFoods,Tin,12,California,San Francisco,District B,12,20.89,250.68,145.32,105.36,3.8,True,2024-01-21
Store #103,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,Texas,Austin,District C,34,2.81,95.54,55.76,39.78,4.6,True,2024-12-08
Store #103,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Texas,Austin,District C,34,19.52,663.68,381.48,282.2,4.2,True,2024-11-06
Store #105,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,New York,New York,District A,101,18.79,1897.79,1247.35,650.44,3.9,True,2024-12-12
Store #104,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Texas,Dallas,District C,82,4.13,338.66,216.48,122.18,3.9,True,2024-12-22
Store #101,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,California,Los Angeles,District A,114,8.12,925.68,518.7,406.98,4.6,False,2024-09-29
Store #107,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,Florida,Miami,District D,115,2.92,335.8,216.2,119.6,4.8,True,2024-02-24
Store #107,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,Florida,Miami,District D,74,16.18,1197.32,823.62,373.7,4.7,True,2024-09-24
Store #110,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Texas,Houston,District C,67,6.7,448.9,252.59,196.31,4.9,True,2024-06-14
Store #108,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Illinois,Chicago,District B,102,18.68,1905.36,1189.32,716.04,4.2,True,2024-11-08
Store #106,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Washington,Seattle,District B,76,6.74,512.24,335.92,176.32,4.1,False,2024-06-23
Store #104,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Texas,Dallas,District C,109,3.99,434.91,288.85,146.06,4.6,True,2024-05-03
Store #108,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,Illinois,Chicago,District B,28,2.73,76.44,46.76,29.68,4.1,True,2024-01-09
Store #106,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,Washington,Seattle,District B,140,2.75,385.0,268.8,116.2,4.5,True,2024-10-10
Store #108,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Illinois,Chicago,District B,69,6.32,436.08,287.04,149.04,4.2,True,2024-06-05
Store #103,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Texas,Austin,District C,128,5.17,661.76,422.4,239.36,4.7,True,2024-04-20
Store #102,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,California,San Francisco,District B,63,5.22,328.86,195.93,132.93,4.6,True,2024-05-31
Store #101,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,California,Los Angeles,District A,79,4.58,361.82,206.19,155.63,4.8,True,2024-10-10
Store #101,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,California,Los Angeles,District A,125,18.95,2368.75,1423.75,945.0,5.0,True,2024-05-25
Store #108,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Illinois,Chicago,District B,107,3.99,426.93,271.78,155.15,4.6,True,2024-02-03
Store #110,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Texas,Houston,District C,68,6.24,424.32,282.2,142.12,4.5,True,2024-02-13
Store #104,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,Texas,Dallas,District C,120,11.96,1435.2,853.2,582.0,4.5,True,2024-07-13
Store #110,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Texas,Houston,District C,30,19.84,595.2,345.9,249.3,4.1,True,2024-01-31
Store #103,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Texas,Austin,District C,24,5.11,122.64,74.88,47.76,4.6,True,2024-03-29
Store #101,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,California,Los Angeles,District A,77,5.4,415.8,257.18,158.62,4.6,True,2024-05-27
Store #110,PID-1011,Matcha Green Tea Powder 100g,VitalityFoods,Tin,12,Texas,Houston,District C,113,19.22,2171.86,1267.86,904.0,4.0,True,2024-04-11
Store #103,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Texas,Austin,District C,47,4.11,193.17,123.61,69.56,4.8,True,2024-01-31
Store #108,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Illinois,Chicago,District B,82,4.07,333.74,230.42,103.32,4.4,True,2024-08-27
Store #102,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,California,San Francisco,District B,115,19.44,2235.6,1431.75,803.85,3.8,True,2024-01-21
Store #110,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Texas,Houston,District C,73,19.13,1396.49,927.83,468.66,4.0,True,2024-01-11
Store #108,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Illinois,Chicago,District B,116,6.58,763.28,475.6,287.68,3.9,True,2024-04-02
Store #106,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,Washington,Seattle,District B,31,8.28,256.68,153.76,102.92,4.6,True,2024-12-09
Store #107,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,Florida,Miami,District D,121,11.02,1333.42,784.08,549.34,3.9,True,2024-01-19
Store #109,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,California,San Diego,District A,123,4.45,547.35,316.11,231.24,4.2,True,2024-12-02
Store #108,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,Illinois,Chicago,District B,73,4.51,329.23,227.03,102.2,4.3,True,2024-04-14
Store #102,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,California,San Francisco,District B,66,4.58,302.28,180.18,122.1,3.8,True,2024-11-18
Store #104,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Texas,Dallas,District C,35,4.05,141.75,81.2,60.55,4.9,True,2024-08-24
Store #105,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,New York,New York,District A,125,6.13,766.25,485.0,281.25,4.3,True,2024-09-04
Store #109,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,California,San Diego,District A,22,8.3,182.6,122.1,60.5,4.3,True,2024-03-10
Store #109,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,California,San Diego,District A,77,6.64,511.28,345.73,165.55,4.5,True,2024-01-02
Store #103,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,Texas,Austin,District C,128,2.75,352.0,222.72,129.28,4.5,True,2024-10-02
Store #106,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Washington,Seattle,District B,66,5.33,351.78,205.92,145.86,4.7,False,2024-12-23
Store #108,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Illinois,Chicago,District B,103,8.9,916.7,612.85,303.85,4.6,True,2024-07-14
Store #101,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,California,Los Angeles,District A,89,16.58,1475.62,1004.81,470.81,4.3,True,2024-09-14
Store #108,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,Illinois,Chicago,District B,109,4.66,507.94,353.16,154.78,3.9,True,2024-03-14
Store #105,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,New York,New York,District A,106,8.11,859.66,583.0,276.66,4.8,True,2024-11-15
Store #107,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,Florida,Miami,District D,129,8.29,1069.41,593.4,476.01,3.9,True,2024-11-16
Store #105,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,New York,New York,District A,116,5.54,642.64,426.88,215.76,4.6,False,2024-02-16
Store #103,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Texas,Austin,District C,12,8.1,97.2,65.04,32.16,4.2,True,2024-06-02
Store #103,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Texas,Austin,District C,110,5.32,585.2,391.6,193.6,4.0,False,2024-09-28
Store #107,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Florida,Miami,District D,66,18.99,1253.34,799.26,454.08,4.1,True,2024-12-15
Store #108,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Illinois,Chicago,District B,7,6.75,47.25,29.26,17.99,4.1,True,2024-12-07
Store #102,PID-1008,Sparkling Spring Water 750ml,VitalityFoods,Bottle,12,California,San Francisco,District B,81,2.83,229.23,140.94,88.29,4.1,True,2024-06-25
Store #104,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,Texas,Dallas,District C,32,6.12,195.84,124.48,71.36,4.5,True,2024-09-04
Store #105,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,New York,New York,District A,106,4.39,465.34,295.74,169.6,4.6,True,2024-12-03
Store #101,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,California,Los Angeles,District A,78,19.51,1521.78,889.2,632.58,4.8,True,2024-09-11
Store #104,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Texas,Dallas,District C,40,19.23,769.2,527.2,242.0,4.6,True,2024-05-08
Store #108,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,Illinois,Chicago,District B,98,4.59,449.82,253.82,196.0,4.2,True,2024-10-23
Store #103,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,Texas,Austin,District C,98,5.31,520.38,357.7,162.68,4.8,True,2024-03-08
Store #108,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Illinois,Chicago,District B,34,6.47,219.98,123.42,96.56,4.7,True,2024-06-22
Store #107,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,Florida,Miami,District D,28,11.82,330.96,182.84,148.12,4.4,True,2024-07-06
Store #105,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,New York,New York,District A,100,18.25,1825.0,1068.0,757.0,3.8,True,2024-07-14
Store #109,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,California,San Diego,District A,61,8.11,494.71,319.03,175.68,4.4,True,2024-11-08
Store #107,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Florida,Miami,District D,16,4.17,66.72,39.68,27.04,4.4,False,2024-03-12
Store #109,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,California,San Diego,District A,121,15.78,1909.38,1322.53,586.85,4.6,True,2024-07-17
Store #110,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Texas,Houston,District C,111,8.62,956.82,646.02,310.8,4.5,True,2024-03-20
Store #105,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,New York,New York,District A,99,4.36,431.64,266.31,165.33,4.1,True,2024-12-19
Store #106,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,Washington,Seattle,District B,96,10.99,1055.04,624.0,431.04,5.0,True,2024-11-26
Store #108,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Illinois,Chicago,District B,59,4.05,238.95,152.81,86.14,3.8,True,2024-12-05
Store #104,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,Texas,Dallas,District C,57,15.3,872.1,579.69,292.41,4.0,True,2024-10-16
Store #104,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,Texas,Dallas,District C,5,7.81,39.05,27.25,11.8,5.0,True,2024-03-16
Store #103,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Texas,Austin,District C,11,3.84,42.24,25.52,16.72,4.7,True,2024-12-04
Store #101,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,California,Los Angeles,District A,18,15.39,277.02,169.92,107.1,3.9,False,2024-05-15
Store #108,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,Illinois,Chicago,District B,32,7.95,254.4,148.48,105.92,4.5,True,2024-09-19
Store #109,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,California,San Diego,District A,12,6.2,74.4,46.32,28.08,4.3,True,2024-08-22
Store #108,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Illinois,Chicago,District B,23,8.83,203.09,121.44,81.65,4.0,True,2024-08-15
Store #110,PID-1011,Matcha Green Tea Powder 100g,VitalityFoods,Tin,12,Texas,Houston,District C,88,19.75,1738.0,1111.44,626.56,4.2,True,2024-10-26
Store #107,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Florida,Miami,District D,34,4.13,140.42,90.78,49.64,4.7,True,2024-12-25
Store #104,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,Texas,Dallas,District C,63,6.24,393.12,265.23,127.89,4.3,True,2024-08-19
Store #106,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,Washington,Seattle,District B,70,6.21,434.7,249.2,185.5,4.9,False,2024-06-09
Store #102,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,California,San Francisco,District B,29,4.09,118.61,71.92,46.69,4.0,False,2024-08-09
Store #109,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,California,San Diego,District A,36,11.39,410.04,279.36,130.68,4.9,True,2024-06-17
Store #101,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,California,Los Angeles,District A,84,6.39,536.76,341.88,194.88,4.1,True,2024-11-03
Store #104,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Texas,Dallas,District C,99,3.84,380.16,224.73,155.43,4.1,True,2024-06-28
Store #109,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,California,San Diego,District A,11,19.2,211.2,136.95,74.25,4.6,False,2024-11-10
Store #105,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,New York,New York,District A,91,8.36,760.76,439.53,321.23,4.0,True,2024-06-07
Store #102,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,California,San Francisco,District B,12,15.34,184.08,115.92,68.16,4.3,True,2024-11-20
Store #103,PID-1006,Organic Rolled Oats 1kg,HarvestGold,Bag,10,Texas,Austin,District C,88,8.21,722.48,458.48,264.0,3.9,False,2024-06-08
Store #103,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,Texas,Austin,District C,25,18.56,464.0,301.25,162.75,4.4,True,2024-01-26
Store #105,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,New York,New York,District A,34,5.21,177.14,100.3,76.84,4.6,True,2024-09-19
Store #109,PID-1011,Matcha Green Tea Powder 100g,VitalityFoods,Tin,12,California,San Diego,District A,16,19.43,310.88,216.96,93.92,3.9,True,2024-06-06
Store #104,PID-1003,Dark Roast Whole Bean 500g,PureBrew,Bag,6,Texas,Dallas,District C,79,15.72,1241.88,684.14,557.74,4.7,True,2024-05-10
Store #107,PID-1009,Raw Wildflower Honey 500g,GreenValley,Jar,12,Florida,Miami,District D,63,11.49,723.87,488.88,234.99,4.8,False,2024-12-26
Store #101,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,California,Los Angeles,District A,122,6.55,799.1,542.9,256.2,4.5,True,2024-01-10
Store #107,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Florida,Miami,District D,108,6.18,667.44,399.6,267.84,4.8,True,2024-02-28
